Eta;ObjValue;Algo
1.00;926.82;algo(error=0)
1.00;642.65;pred(error=0)
1.00;3411.25;greedy
0.90;818.42;algo(error=0)
0.90;642.65;pred(error=0)
0.90;3411.25;greedy
0.80;639.40;algo(error=0)
0.80;642.65;pred(error=0)
0.80;3411.25;greedy
0.70;766.29;algo(error=0)
0.70;642.65;pred(error=0)
0.70;3411.25;greedy
0.60;766.29;algo(error=0)
0.60;642.65;pred(error=0)
0.60;3411.25;greedy
0.50;766.29;algo(error=0)
0.50;642.65;pred(error=0)
0.50;3411.25;greedy
0.40;757.34;algo(error=0)
0.40;642.65;pred(error=0)
0.40;3411.25;greedy
0.30;757.34;algo(error=0)
0.30;642.65;pred(error=0)
0.30;3411.25;greedy
0.20;772.06;algo(error=0)
0.20;642.65;pred(error=0)
0.20;3411.25;greedy
0.10;772.06;algo(error=0)
0.10;642.65;pred(error=0)
0.10;3411.25;greedy
0.01;642.65;algo(error=0)
0.01;642.65;pred(error=0)
0.01;3411.25;greedy
1.00;926.82;algo(error=0.18)
1.00;779.01;pred(error=0.18)
1.00;3411.25;greedy
0.90;840.58;algo(error=0.18)
0.90;779.01;pred(error=0.18)
0.90;3411.25;greedy
0.80;753.13;algo(error=0.18)
0.80;779.01;pred(error=0.18)
0.80;3411.25;greedy
0.70;766.29;algo(error=0.18)
0.70;779.01;pred(error=0.18)
0.70;3411.25;greedy
0.60;766.29;algo(error=0.18)
0.60;779.01;pred(error=0.18)
0.60;3411.25;greedy
0.50;766.29;algo(error=0.18)
0.50;779.01;pred(error=0.18)
0.50;3411.25;greedy
0.40;757.34;algo(error=0.18)
0.40;779.01;pred(error=0.18)
0.40;3411.25;greedy
0.30;757.34;algo(error=0.18)
0.30;779.01;pred(error=0.18)
0.30;3411.25;greedy
0.20;772.06;algo(error=0.18)
0.20;779.01;pred(error=0.18)
0.20;3411.25;greedy
0.10;772.06;algo(error=0.18)
0.10;779.01;pred(error=0.18)
0.10;3411.25;greedy
0.01;727.52;algo(error=0.18)
0.01;779.01;pred(error=0.18)
0.01;3411.25;greedy
1.00;926.82;algo(error=0.27)
1.00;875.84;pred(error=0.27)
1.00;3411.25;greedy
0.90;818.42;algo(error=0.27)
0.90;875.84;pred(error=0.27)
0.90;3411.25;greedy
0.80;746.65;algo(error=0.27)
0.80;875.84;pred(error=0.27)
0.80;3411.25;greedy
0.70;825.41;algo(error=0.27)
0.70;875.84;pred(error=0.27)
0.70;3411.25;greedy
0.60;863.95;algo(error=0.27)
0.60;875.84;pred(error=0.27)
0.60;3411.25;greedy
0.50;863.95;algo(error=0.27)
0.50;875.84;pred(error=0.27)
0.50;3411.25;greedy
0.40;799.21;algo(error=0.27)
0.40;875.84;pred(error=0.27)
0.40;3411.25;greedy
0.30;799.21;algo(error=0.27)
0.30;875.84;pred(error=0.27)
0.30;3411.25;greedy
0.20;813.93;algo(error=0.27)
0.20;875.84;pred(error=0.27)
0.20;3411.25;greedy
0.10;813.93;algo(error=0.27)
0.10;875.84;pred(error=0.27)
0.10;3411.25;greedy
0.01;845.02;algo(error=0.27)
0.01;875.84;pred(error=0.27)
0.01;3411.25;greedy
