Eta;CompRatio;Algo
1;0.81494;algo(error=0)
1;0.195594;greedy
1;1;pred(error=0)
0.901;0.817067;algo(error=0)
0.901;0.195594;greedy
0.901;1;pred(error=0)
0.802;0.925694;algo(error=0)
0.802;0.195594;greedy
0.802;1;pred(error=0)
0.703;0.925694;algo(error=0)
0.703;0.195594;greedy
0.703;1;pred(error=0)
0.604;0.925694;algo(error=0)
0.604;0.195594;greedy
0.604;1;pred(error=0)
0.505;0.925694;algo(error=0)
0.505;0.195594;greedy
0.505;1;pred(error=0)
0.406;0.925694;algo(error=0)
0.406;0.195594;greedy
0.406;1;pred(error=0)
0.307;0.925694;algo(error=0)
0.307;0.195594;greedy
0.307;1;pred(error=0)
0.208;0.925694;algo(error=0)
0.208;0.195594;greedy
0.208;1;pred(error=0)
0.109;0.900245;algo(error=0)
0.109;0.195594;greedy
0.109;1;pred(error=0)
0.01;0.778514;algo(error=0)
0.01;0.195594;greedy
0.01;1;pred(error=0)
1;0.81494;algo(error=0.12)
1;0.195594;greedy
1;0.884827;pred(error=0.12)
0.901;0.817067;algo(error=0.12)
0.901;0.195594;greedy
0.901;0.884827;pred(error=0.12)
0.802;0.817067;algo(error=0.12)
0.802;0.195594;greedy
0.802;0.884827;pred(error=0.12)
0.703;0.817067;algo(error=0.12)
0.703;0.195594;greedy
0.703;0.884827;pred(error=0.12)
0.604;0.817067;algo(error=0.12)
0.604;0.195594;greedy
0.604;0.884827;pred(error=0.12)
0.505;0.874907;algo(error=0.12)
0.505;0.195594;greedy
0.505;0.884827;pred(error=0.12)
0.406;0.855933;algo(error=0.12)
0.406;0.195594;greedy
0.406;0.884827;pred(error=0.12)
0.307;0.855933;algo(error=0.12)
0.307;0.195594;greedy
0.307;0.884827;pred(error=0.12)
0.208;0.855933;algo(error=0.12)
0.208;0.195594;greedy
0.208;0.884827;pred(error=0.12)
0.109;0.802353;algo(error=0.12)
0.109;0.195594;greedy
0.109;0.884827;pred(error=0.12)
0.01;0.696438;algo(error=0.12)
0.01;0.195594;greedy
0.01;0.884827;pred(error=0.12)
1;0.81494;algo(error=0.21)
1;0.195594;greedy
1;0.791425;pred(error=0.21)
0.901;0.817067;algo(error=0.21)
0.901;0.195594;greedy
0.901;0.791425;pred(error=0.21)
0.802;0.860955;algo(error=0.21)
0.802;0.195594;greedy
0.802;0.791425;pred(error=0.21)
0.703;0.860955;algo(error=0.21)
0.703;0.195594;greedy
0.703;0.791425;pred(error=0.21)
0.604;0.860955;algo(error=0.21)
0.604;0.195594;greedy
0.604;0.791425;pred(error=0.21)
0.505;0.860955;algo(error=0.21)
0.505;0.195594;greedy
0.505;0.791425;pred(error=0.21)
0.406;0.860955;algo(error=0.21)
0.406;0.195594;greedy
0.406;0.791425;pred(error=0.21)
0.307;0.860955;algo(error=0.21)
0.307;0.195594;greedy
0.307;0.791425;pred(error=0.21)
0.208;0.860955;algo(error=0.21)
0.208;0.195594;greedy
0.208;0.791425;pred(error=0.21)
0.109;0.833444;algo(error=0.21)
0.109;0.195594;greedy
0.109;0.791425;pred(error=0.21)
0.01;0.726446;algo(error=0.21)
0.01;0.195594;greedy
0.01;0.791425;pred(error=0.21)
