Eta;CompRatio;Algo;Oracle
1;0.513893;greedy;1
1;1.00001;oracle 1;1
1;0.513893;algo(oracle 1);1
1;0.513893;greedy;2
1;1.00001;oracle 2;2
1;0.513893;algo(oracle 2);2
1;0.513893;greedy;3
1;1.00001;oracle 3;3
1;0.513893;algo(oracle 3);3
0.901;0.513893;greedy;1
0.901;1.00001;oracle 1;1
0.901;0.513893;algo(oracle 1);1
0.901;0.513893;greedy;2
0.901;1.00001;oracle 2;2
0.901;0.513893;algo(oracle 2);2
0.901;0.513893;greedy;3
0.901;1.00001;oracle 3;3
0.901;0.513893;algo(oracle 3);3
0.802;0.513893;greedy;1
0.802;1.00001;oracle 1;1
0.802;0.513893;algo(oracle 1);1
0.802;0.513893;greedy;2
0.802;1.00001;oracle 2;2
0.802;0.513893;algo(oracle 2);2
0.802;0.513893;greedy;3
0.802;1.00001;oracle 3;3
0.802;0.513893;algo(oracle 3);3
0.703;0.513893;greedy;1
0.703;1.00001;oracle 1;1
0.703;0.513893;algo(oracle 1);1
0.703;0.513893;greedy;2
0.703;1.00001;oracle 2;2
0.703;0.513893;algo(oracle 2);2
0.703;0.513893;greedy;3
0.703;1.00001;oracle 3;3
0.703;0.513893;algo(oracle 3);3
0.604;0.513893;greedy;1
0.604;1.00001;oracle 1;1
0.604;0.513893;algo(oracle 1);1
0.604;0.513893;greedy;2
0.604;1.00001;oracle 2;2
0.604;0.513893;algo(oracle 2);2
0.604;0.513893;greedy;3
0.604;1.00001;oracle 3;3
0.604;0.513893;algo(oracle 3);3
0.505;0.513893;greedy;1
0.505;1.00001;oracle 1;1
0.505;0.513893;algo(oracle 1);1
0.505;0.513893;greedy;2
0.505;1.00001;oracle 2;2
0.505;0.513893;algo(oracle 2);2
0.505;0.513893;greedy;3
0.505;1.00001;oracle 3;3
0.505;0.513893;algo(oracle 3);3
0.406;0.513893;greedy;1
0.406;1.00001;oracle 1;1
0.406;0.513893;algo(oracle 1);1
0.406;0.513893;greedy;2
0.406;1.00001;oracle 2;2
0.406;0.513893;algo(oracle 2);2
0.406;0.513893;greedy;3
0.406;1.00001;oracle 3;3
0.406;0.513893;algo(oracle 3);3
0.307;0.513893;greedy;1
0.307;1.00001;oracle 1;1
0.307;0.513893;algo(oracle 1);1
0.307;0.513893;greedy;2
0.307;1.00001;oracle 2;2
0.307;0.513893;algo(oracle 2);2
0.307;0.513893;greedy;3
0.307;1.00001;oracle 3;3
0.307;0.513893;algo(oracle 3);3
0.208;0.513893;greedy;1
0.208;1.00001;oracle 1;1
0.208;0.513893;algo(oracle 1);1
0.208;0.513893;greedy;2
0.208;1.00001;oracle 2;2
0.208;0.513893;algo(oracle 2);2
0.208;0.513893;greedy;3
0.208;1.00001;oracle 3;3
0.208;0.513893;algo(oracle 3);3
0.109;0.513893;greedy;1
0.109;1.00001;oracle 1;1
0.109;1.00001;algo(oracle 1);1
0.109;0.513893;greedy;2
0.109;1.00001;oracle 2;2
0.109;1.00001;algo(oracle 2);2
0.109;0.513893;greedy;3
0.109;1.00001;oracle 3;3
0.109;1.00001;algo(oracle 3);3
0.01;0.513893;greedy;1
0.01;1.00001;oracle 1;1
0.01;1.00001;algo(oracle 1);1
0.01;0.513893;greedy;2
0.01;1.00001;oracle 2;2
0.01;1.00001;algo(oracle 2);2
0.01;0.513893;greedy;3
0.01;1.00001;oracle 3;3
0.01;1.00001;algo(oracle 3);3
