Eta;CompRatio;Algo;Oracle
1;0.630451;greedy;1
1;0.762479;oracle 1;1
1;0.282453;algo(oracle 1);1
1;0.630451;greedy;2
1;0.557629;oracle 2;2
1;0.282453;algo(oracle 2);2
1;0.630451;greedy;3
1;0.442278;oracle 3;3
1;0.282453;algo(oracle 3);3
0.901;0.630451;greedy;1
0.901;0.762479;oracle 1;1
0.901;0.312577;algo(oracle 1);1
0.901;0.630451;greedy;2
0.901;0.557629;oracle 2;2
0.901;0.312577;algo(oracle 2);2
0.901;0.630451;greedy;3
0.901;0.442278;oracle 3;3
0.901;0.282453;algo(oracle 3);3
0.802;0.630451;greedy;1
0.802;0.762479;oracle 1;1
0.802;0.500415;algo(oracle 1);1
0.802;0.630451;greedy;2
0.802;0.557629;oracle 2;2
0.802;0.500415;algo(oracle 2);2
0.802;0.630451;greedy;3
0.802;0.442278;oracle 3;3
0.802;0.651456;algo(oracle 3);3
0.703;0.630451;greedy;1
0.703;0.762479;oracle 1;1
0.703;0.356545;algo(oracle 1);1
0.703;0.630451;greedy;2
0.703;0.557629;oracle 2;2
0.703;0.500415;algo(oracle 2);2
0.703;0.630451;greedy;3
0.703;0.442278;oracle 3;3
0.703;0.651456;algo(oracle 3);3
0.604;0.630451;greedy;1
0.604;0.762479;oracle 1;1
0.604;0.356545;algo(oracle 1);1
0.604;0.630451;greedy;2
0.604;0.557629;oracle 2;2
0.604;0.41742;algo(oracle 2);2
0.604;0.630451;greedy;3
0.604;0.442278;oracle 3;3
0.604;0.359697;algo(oracle 3);3
0.505;0.630451;greedy;1
0.505;0.762479;oracle 1;1
0.505;0.51063;algo(oracle 1);1
0.505;0.630451;greedy;2
0.505;0.557629;oracle 2;2
0.505;0.507614;algo(oracle 2);2
0.505;0.630451;greedy;3
0.505;0.442278;oracle 3;3
0.505;0.359697;algo(oracle 3);3
0.406;0.630451;greedy;1
0.406;0.762479;oracle 1;1
0.406;0.51063;algo(oracle 1);1
0.406;0.630451;greedy;2
0.406;0.557629;oracle 2;2
0.406;0.507614;algo(oracle 2);2
0.406;0.630451;greedy;3
0.406;0.442278;oracle 3;3
0.406;0.359697;algo(oracle 3);3
0.307;0.630451;greedy;1
0.307;0.762479;oracle 1;1
0.307;0.51063;algo(oracle 1);1
0.307;0.630451;greedy;2
0.307;0.557629;oracle 2;2
0.307;0.507614;algo(oracle 2);2
0.307;0.630451;greedy;3
0.307;0.442278;oracle 3;3
0.307;0.359697;algo(oracle 3);3
0.208;0.630451;greedy;1
0.208;0.762479;oracle 1;1
0.208;0.660983;algo(oracle 1);1
0.208;0.630451;greedy;2
0.208;0.557629;oracle 2;2
0.208;0.600954;algo(oracle 2);2
0.208;0.630451;greedy;3
0.208;0.442278;oracle 3;3
0.208;0.359697;algo(oracle 3);3
0.109;0.630451;greedy;1
0.109;0.762479;oracle 1;1
0.109;0.660983;algo(oracle 1);1
0.109;0.630451;greedy;2
0.109;0.557629;oracle 2;2
0.109;0.512553;algo(oracle 2);2
0.109;0.630451;greedy;3
0.109;0.442278;oracle 3;3
0.109;0.359697;algo(oracle 3);3
0.01;0.630451;greedy;1
0.01;0.762479;oracle 1;1
0.01;0.645837;algo(oracle 1);1
0.01;0.630451;greedy;2
0.01;0.557629;oracle 2;2
0.01;0.525415;algo(oracle 2);2
0.01;0.630451;greedy;3
0.01;0.442278;oracle 3;3
0.01;0.537514;algo(oracle 3);3
