Eta;CompRatio;Algo;Oracle
1;0.599519;greedy;1
1;0.536968;oracle 1;1
1;0.599519;algo(oracle 1);1
1;0.599519;greedy;2
1;0.363682;oracle 2;2
1;0.599519;algo(oracle 2);2
1;0.599519;greedy;3
1;0.220075;oracle 3;3
1;0.599519;algo(oracle 3);3
0.901;0.599519;greedy;1
0.901;0.536968;oracle 1;1
0.901;0.599519;algo(oracle 1);1
0.901;0.599519;greedy;2
0.901;0.363682;oracle 2;2
0.901;0.599519;algo(oracle 2);2
0.901;0.599519;greedy;3
0.901;0.220075;oracle 3;3
0.901;0.599519;algo(oracle 3);3
0.802;0.599519;greedy;1
0.802;0.536968;oracle 1;1
0.802;0.599519;algo(oracle 1);1
0.802;0.599519;greedy;2
0.802;0.363682;oracle 2;2
0.802;0.443021;algo(oracle 2);2
0.802;0.599519;greedy;3
0.802;0.220075;oracle 3;3
0.802;0.513817;algo(oracle 3);3
0.703;0.599519;greedy;1
0.703;0.536968;oracle 1;1
0.703;0.599519;algo(oracle 1);1
0.703;0.599519;greedy;2
0.703;0.363682;oracle 2;2
0.703;0.443021;algo(oracle 2);2
0.703;0.599519;greedy;3
0.703;0.220075;oracle 3;3
0.703;0.513817;algo(oracle 3);3
0.604;0.599519;greedy;1
0.604;0.536968;oracle 1;1
0.604;0.536968;algo(oracle 1);1
0.604;0.599519;greedy;2
0.604;0.363682;oracle 2;2
0.604;0.443021;algo(oracle 2);2
0.604;0.599519;greedy;3
0.604;0.220075;oracle 3;3
0.604;0.513817;algo(oracle 3);3
0.505;0.599519;greedy;1
0.505;0.536968;oracle 1;1
0.505;0.536968;algo(oracle 1);1
0.505;0.599519;greedy;2
0.505;0.363682;oracle 2;2
0.505;0.443021;algo(oracle 2);2
0.505;0.599519;greedy;3
0.505;0.220075;oracle 3;3
0.505;0.513817;algo(oracle 3);3
0.406;0.599519;greedy;1
0.406;0.536968;oracle 1;1
0.406;0.536968;algo(oracle 1);1
0.406;0.599519;greedy;2
0.406;0.363682;oracle 2;2
0.406;0.443021;algo(oracle 2);2
0.406;0.599519;greedy;3
0.406;0.220075;oracle 3;3
0.406;0.424752;algo(oracle 3);3
0.307;0.599519;greedy;1
0.307;0.536968;oracle 1;1
0.307;0.536968;algo(oracle 1);1
0.307;0.599519;greedy;2
0.307;0.363682;oracle 2;2
0.307;0.443021;algo(oracle 2);2
0.307;0.599519;greedy;3
0.307;0.220075;oracle 3;3
0.307;0.424752;algo(oracle 3);3
0.208;0.599519;greedy;1
0.208;0.536968;oracle 1;1
0.208;0.536968;algo(oracle 1);1
0.208;0.599519;greedy;2
0.208;0.363682;oracle 2;2
0.208;0.443021;algo(oracle 2);2
0.208;0.599519;greedy;3
0.208;0.220075;oracle 3;3
0.208;0.424752;algo(oracle 3);3
0.109;0.599519;greedy;1
0.109;0.536968;oracle 1;1
0.109;0.536968;algo(oracle 1);1
0.109;0.599519;greedy;2
0.109;0.363682;oracle 2;2
0.109;0.443021;algo(oracle 2);2
0.109;0.599519;greedy;3
0.109;0.220075;oracle 3;3
0.109;0.424752;algo(oracle 3);3
0.01;0.599519;greedy;1
0.01;0.536968;oracle 1;1
0.01;0.536968;algo(oracle 1);1
0.01;0.599519;greedy;2
0.01;0.363682;oracle 2;2
0.01;0.363682;algo(oracle 2);2
0.01;0.599519;greedy;3
0.01;0.220075;oracle 3;3
0.01;0.246823;algo(oracle 3);3
