Eta;CompRatio;Algo;Oracle
1;0.337886;greedy;1
1;0.235418;oracle 1;1
1;0.262255;algo(oracle 1);1
1;0.337886;greedy;2
1;0.222256;oracle 2;2
1;0.262255;algo(oracle 2);2
1;0.337886;greedy;3
1;0.225272;oracle 3;3
1;0.262255;algo(oracle 3);3
0.901;0.337886;greedy;1
0.901;0.235418;oracle 1;1
0.901;0.286169;algo(oracle 1);1
0.901;0.337886;greedy;2
0.901;0.222256;oracle 2;2
0.901;0.26606;algo(oracle 2);2
0.901;0.337886;greedy;3
0.901;0.225272;oracle 3;3
0.901;0.256655;algo(oracle 3);3
0.802;0.337886;greedy;1
0.802;0.235418;oracle 1;1
0.802;0.267847;algo(oracle 1);1
0.802;0.337886;greedy;2
0.802;0.222256;oracle 2;2
0.802;0.253219;algo(oracle 2);2
0.802;0.337886;greedy;3
0.802;0.225272;oracle 3;3
0.802;0.280451;algo(oracle 3);3
0.703;0.337886;greedy;1
0.703;0.235418;oracle 1;1
0.703;0.25415;algo(oracle 1);1
0.703;0.337886;greedy;2
0.703;0.222256;oracle 2;2
0.703;0.247483;algo(oracle 2);2
0.703;0.337886;greedy;3
0.703;0.225272;oracle 3;3
0.703;0.245486;algo(oracle 3);3
0.604;0.337886;greedy;1
0.604;0.235418;oracle 1;1
0.604;0.265658;algo(oracle 1);1
0.604;0.337886;greedy;2
0.604;0.222256;oracle 2;2
0.604;0.242802;algo(oracle 2);2
0.604;0.337886;greedy;3
0.604;0.225272;oracle 3;3
0.604;0.262622;algo(oracle 3);3
0.505;0.337886;greedy;1
0.505;0.235418;oracle 1;1
0.505;0.2592;algo(oracle 1);1
0.505;0.337886;greedy;2
0.505;0.222256;oracle 2;2
0.505;0.242802;algo(oracle 2);2
0.505;0.337886;greedy;3
0.505;0.225272;oracle 3;3
0.505;0.25289;algo(oracle 3);3
0.406;0.337886;greedy;1
0.406;0.235418;oracle 1;1
0.406;0.275819;algo(oracle 1);1
0.406;0.337886;greedy;2
0.406;0.222256;oracle 2;2
0.406;0.242802;algo(oracle 2);2
0.406;0.337886;greedy;3
0.406;0.225272;oracle 3;3
0.406;0.238497;algo(oracle 3);3
0.307;0.337886;greedy;1
0.307;0.235418;oracle 1;1
0.307;0.263408;algo(oracle 1);1
0.307;0.337886;greedy;2
0.307;0.222256;oracle 2;2
0.307;0.243596;algo(oracle 2);2
0.307;0.337886;greedy;3
0.307;0.225272;oracle 3;3
0.307;0.260682;algo(oracle 3);3
0.208;0.337886;greedy;1
0.208;0.235418;oracle 1;1
0.208;0.263408;algo(oracle 1);1
0.208;0.337886;greedy;2
0.208;0.222256;oracle 2;2
0.208;0.232989;algo(oracle 2);2
0.208;0.337886;greedy;3
0.208;0.225272;oracle 3;3
0.208;0.256593;algo(oracle 3);3
0.109;0.337886;greedy;1
0.109;0.235418;oracle 1;1
0.109;0.263408;algo(oracle 1);1
0.109;0.337886;greedy;2
0.109;0.222256;oracle 2;2
0.109;0.246509;algo(oracle 2);2
0.109;0.337886;greedy;3
0.109;0.225272;oracle 3;3
0.109;0.24688;algo(oracle 3);3
0.01;0.337886;greedy;1
0.01;0.235418;oracle 1;1
0.01;0.258714;algo(oracle 1);1
0.01;0.337886;greedy;2
0.01;0.222256;oracle 2;2
0.01;0.222256;algo(oracle 2);2
0.01;0.337886;greedy;3
0.01;0.225272;oracle 3;3
0.01;0.24688;algo(oracle 3);3
