Eta;CompRatio;Algo;Oracle
1;0.337886;greedy;1
1;0.337886;greedy;2
1;0.337886;greedy;3
1;0.235418;oracle 1;1
1;0.262255;algo(oracle 1);1
1;0.117849;oracle 2;2
1;0.262255;algo(oracle 2);2
1;0.0748719;oracle 3;3
1;0.262255;algo(oracle 3);3
0.901;0.337886;greedy;1
0.901;0.337886;greedy;2
0.901;0.337886;greedy;3
0.901;0.235418;oracle 1;1
0.901;0.286169;algo(oracle 1);1
0.901;0.117849;oracle 2;2
0.901;0.254094;algo(oracle 2);2
0.901;0.0748719;oracle 3;3
0.901;0.26752;algo(oracle 3);3
0.802;0.337886;greedy;1
0.802;0.337886;greedy;2
0.802;0.337886;greedy;3
0.802;0.235418;oracle 1;1
0.802;0.267847;algo(oracle 1);1
0.802;0.117849;oracle 2;2
0.802;0.25485;algo(oracle 2);2
0.802;0.0748719;oracle 3;3
0.802;0.26752;algo(oracle 3);3
0.703;0.337886;greedy;1
0.703;0.337886;greedy;2
0.703;0.337886;greedy;3
0.703;0.235418;oracle 1;1
0.703;0.25415;algo(oracle 1);1
0.703;0.117849;oracle 2;2
0.703;0.222619;algo(oracle 2);2
0.703;0.0748719;oracle 3;3
0.703;0.265329;algo(oracle 3);3
0.604;0.337886;greedy;1
0.604;0.337886;greedy;2
0.604;0.337886;greedy;3
0.604;0.235418;oracle 1;1
0.604;0.265658;algo(oracle 1);1
0.604;0.117849;oracle 2;2
0.604;0.211267;algo(oracle 2);2
0.604;0.0748719;oracle 3;3
0.604;0.268017;algo(oracle 3);3
0.505;0.337886;greedy;1
0.505;0.337886;greedy;2
0.505;0.337886;greedy;3
0.505;0.235418;oracle 1;1
0.505;0.2592;algo(oracle 1);1
0.505;0.117849;oracle 2;2
0.505;0.223491;algo(oracle 2);2
0.505;0.0748719;oracle 3;3
0.505;0.259789;algo(oracle 3);3
0.406;0.337886;greedy;1
0.406;0.337886;greedy;2
0.406;0.337886;greedy;3
0.406;0.235418;oracle 1;1
0.406;0.275819;algo(oracle 1);1
0.406;0.117849;oracle 2;2
0.406;0.248238;algo(oracle 2);2
0.406;0.0748719;oracle 3;3
0.406;0.259398;algo(oracle 3);3
0.307;0.337886;greedy;1
0.307;0.337886;greedy;2
0.307;0.337886;greedy;3
0.307;0.235418;oracle 1;1
0.307;0.263408;algo(oracle 1);1
0.307;0.117849;oracle 2;2
0.307;0.252618;algo(oracle 2);2
0.307;0.0748719;oracle 3;3
0.307;0.259417;algo(oracle 3);3
0.208;0.337886;greedy;1
0.208;0.337886;greedy;2
0.208;0.337886;greedy;3
0.208;0.235418;oracle 1;1
0.208;0.263408;algo(oracle 1);1
0.208;0.117849;oracle 2;2
0.208;0.252618;algo(oracle 2);2
0.208;0.0748719;oracle 3;3
0.208;0.259417;algo(oracle 3);3
0.109;0.337886;greedy;1
0.109;0.337886;greedy;2
0.109;0.337886;greedy;3
0.109;0.235418;oracle 1;1
0.109;0.263408;algo(oracle 1);1
0.109;0.117849;oracle 2;2
0.109;0.252618;algo(oracle 2);2
0.109;0.0748719;oracle 3;3
0.109;0.242515;algo(oracle 3);3
0.01;0.337886;greedy;1
0.01;0.337886;greedy;2
0.01;0.337886;greedy;3
0.01;0.235418;oracle 1;1
0.01;0.258714;algo(oracle 1);1
0.01;0.117849;oracle 2;2
0.01;0.235044;algo(oracle 2);2
0.01;0.0748719;oracle 3;3
0.01;0.238391;algo(oracle 3);3
